"","Biospecimen","Organ","Diagnosis","Assays","hasBoth"
"72","HTA6_1066_1","Breast NOS","Ductal carcinoma in situ NOS","Bulk DNA, Bulk DNA, H&E, MIBI, Imaging, Imaging, Imaging, Imaging, Imaging, Bulk RNA-seq, Bulk RNA-seq, Bulk RNA-seq, Bulk RNA-seq",TRUE
"73","HTA6_1073_1","Breast NOS","Ductal carcinoma in situ NOS","Bulk DNA, Bulk DNA, H&E, MIBI, Imaging, Imaging, Imaging, Imaging, Imaging, Bulk RNA-seq, Bulk RNA-seq",TRUE
"74","HTA6_1077_1","Breast NOS","Ductal carcinoma in situ NOS","Bulk DNA, Bulk DNA, H&E, MIBI, Imaging, Imaging, Imaging, Imaging, Imaging, Bulk RNA-seq, Bulk RNA-seq, Bulk RNA-seq, Bulk RNA-seq, Bulk RNA-seq, Bulk RNA-seq, Bulk DNA, Bulk DNA",TRUE
"75","HTA6_1079_1","Breast NOS","Ductal carcinoma in situ NOS","Bulk DNA, Bulk DNA, H&E, MIBI, Imaging, Imaging, Imaging, Imaging, Imaging, Bulk RNA-seq, Bulk RNA-seq, Bulk RNA-seq, Bulk RNA-seq",TRUE
"76","HTA6_1081_1","Breast NOS","Ductal carcinoma in situ NOS","Bulk DNA, Bulk DNA, H&E, MIBI, Imaging, Imaging, Imaging, Imaging, Imaging, Bulk RNA-seq, Bulk RNA-seq",TRUE
"77","HTA6_1082_1","Breast NOS","Ductal carcinoma in situ NOS","Bulk DNA, Bulk DNA, H&E, MIBI, Imaging, Imaging, Imaging, Imaging, Imaging, Bulk RNA-seq, Bulk RNA-seq, Bulk RNA-seq, Bulk RNA-seq",TRUE
"78","HTA6_1083_1","Breast NOS","Ductal carcinoma in situ NOS","Bulk DNA, Bulk DNA, H&E, MIBI, Imaging, Imaging, Imaging, Imaging, Imaging, Bulk RNA-seq, Bulk RNA-seq",TRUE
"79","HTA6_1084_1","Breast NOS","Ductal carcinoma in situ NOS","Bulk DNA, Bulk DNA, H&E, MIBI, Imaging, Imaging, Imaging, Imaging, Imaging, Bulk RNA-seq, Bulk RNA-seq, Bulk RNA-seq, Bulk RNA-seq",TRUE
"80","HTA6_1085_1","Breast NOS","Ductal carcinoma in situ NOS","Bulk DNA, Bulk DNA, H&E, MIBI, Imaging, Imaging, Imaging, Imaging, Imaging, Bulk RNA-seq, Bulk RNA-seq, Bulk RNA-seq, Bulk RNA-seq",TRUE
"81","HTA6_1085_2","Breast NOS","Ductal carcinoma in situ NOS","Bulk DNA, Bulk DNA, H&E, MIBI, Imaging, Imaging, Imaging, Imaging, Imaging, Bulk RNA-seq, Bulk RNA-seq",TRUE
